Student_ID,Gender,Department,Study_Group,Attendance_Range,Parental_Education,Internet_Access,Private_Tuition,Study_Hours_Daily,Math_Score,Science_Score,English_Score,Social_Score,Computer_Score,Total_Marks,Average_Score,Grade,Result,Academic_Year
STU0001,Male,Science,Group C,75-90%,High School,Yes,Yes,2.6,89,75,81,86,84,415,83.0,A,Pass,2024
STU0002,Male,Science,Group A,Above 90%,High School,No,No,1.7,63,62,69,69,77,340,68.0,B,Pass,2023
STU0003,Female,Science,Group C,75-90%,Post Graduate,No,Yes,7.2,64,66,63,61,72,326,65.2,B,Pass,2023
STU0004,Male,Management,Group A,Below 60%,High School,Yes,No,3.5,45,50,58,56,51,260,52.0,C,Pass,2024
STU0005,Male,Arts,Group B,60-75%,Post Graduate,Yes,Yes,6.4,57,40,40,40,34,211,42.2,D,Pass,2022
STU0006,Female,Science,Group C,Above 90%,,Yes,Yes,2.9,81,81,80,91,81,414,82.8,A,Pass,2022
STU0007,Female,Management,Group A,Above 90%,Post Graduate,No,No,2.1,71,61,71,73,68,344,68.8,B,Pass,2024
STU0008,Male,Technology,Group C,Above 90%,Graduate,No,No,5.5,67,66,60,62,66,321,64.2,C,Pass,2022
STU0009,Female,Arts,Group C,60-75%,Graduate,Yes,No,2.4,48,62,60,60,49,279,55.8,C,Pass,2023
STU0010,Male,Commerce,Group B,75-90%,Graduate,Yes,Yes,1.6,76,83,85,96,73,413,82.6,A,Pass,2023
STU0011,Male,Science,Group B,60-75%,Post Graduate,No,Yes,6.0,45,60,44,47,38,234,46.8,D,Pass,2023
STU0012,Female,Arts,Group A,Above 90%,High School,Yes,Yes,2.6,81,74,77,83,78,393,78.6,B,Pass,2022
STU0013,Male,Arts,Group C,60-75%,Graduate,No,Yes,2.3,81,64,68,73,59,345,69.0,B,Pass,2022
STU0014,Female,Technology,Group C,Above 90%,Graduate,No,Yes,2.3,61,77,71,69,65,343,68.6,B,Pass,2024
STU0015,Male,Technology,Group A,Above 90%,High School,No,No,4.8,67,73,60,77,74,351,70.2,B,Pass,2022
STU0016,Male,Science,Group A,60-75%,Graduate,No,No,6.5,51,61,61,49,70,292,58.4,C,Pass,2023
STU0017,Female,Technology,Group A,60-75%,High School,No,Yes,7.0,45,49,47,42,45,228,45.6,D,Pass,2022
STU0018,Male,Science,Group B,60-75%,High School,Yes,Yes,5.1,83,75,81,69,71,379,75.8,B,Pass,2024
STU0019,Female,Arts,Group B,60-75%,Post Graduate,No,Yes,4.2,53,46,52,48,46,245,49.0,D,Pass,2024
STU0020,Male,Science,Group B,60-75%,Post Graduate,No,Yes,5.3,61,67,72,75,61,336,67.2,B,Pass,2024
STU0021,Male,Management,Group B,75-90%,Post Graduate,Yes,,2.4,77,71,74,67,70,359,71.8,B,Pass,2024
STU0022,Female,Arts,Group B,75-90%,High School,Yes,No,5.9,73,83,82,75,77,390,78.0,B,Pass,2024
STU0023,Male,Science,Group B,Below 60%,Post Graduate,Yes,Yes,7.0,47,52,52,59,42,252,50.4,C,Pass,2023
STU0024,Male,Commerce,Group A,Below 60%,Graduate,No,Yes,3.3,50,67,52,73,63,305,61.0,C,Pass,2023
STU0025,Female,Commerce,Group A,60-75%,Post Graduate,Yes,No,2.6,55,61,53,54,68,291,58.2,C,Pass,2022
STU0026,Female,Commerce,Group B,75-90%,Graduate,Yes,No,7.8,55,67,59,63,58,302,60.4,C,Pass,2022
STU0027,Female,Management,Group C,Below 60%,High School,No,No,1.3,35,44,41,45,39,204,40.8,D,Pass,2023
STU0028,Male,Science,Group C,75-90%,Graduate,Yes,No,3.8,69,57,54,56,64,300,60.0,C,Pass,2023
STU0029,Male,Management,Group C,60-75%,Graduate,No,Yes,5.2,48,53,46,53,60,260,52.0,C,Pass,2023
STU0030,Female,Technology,Group C,Above 90%,Post Graduate,Yes,No,6.3,75,65,72,67,83,362,72.4,B,Pass,2024
STU0031,Male,Arts,Group A,60-75%,High School,Yes,Yes,6.0,73,74,68,80,68,363,72.6,B,Pass,2023
STU0032,Female,Technology,Group B,60-75%,High School,Yes,Yes,1.8,76,63,60,51,61,311,62.2,C,Pass,2022
STU0033,Female,Technology,Group A,Above 90%,Post Graduate,No,No,4.6,59,66,70,58,58,311,62.2,C,Pass,2024
STU0034,Female,Commerce,Group B,Above 90%,High School,No,Yes,2.5,77,69,67,63,68,344,68.8,B,Pass,2023
STU0035,Female,Technology,Group B,Above 90%,Graduate,Yes,Yes,4.3,76,70,69,76,64,355,71.0,B,Pass,2023
STU0036,Female,Arts,Group A,Above 90%,Post Graduate,Yes,No,6.9,77,63,75,74,61,350,70.0,B,Pass,2022
STU0037,Male,Management,Group C,Above 90%,Post Graduate,Yes,Yes,3.4,70,67,69,61,71,338,67.6,B,Pass,2023
STU0038,Female,Arts,Group C,75-90%,High School,No,Yes,6.3,28,29,40,36,26,159,31.8,D,Fail,2022
STU0039,Male,Commerce,Group C,60-75%,High School,Yes,No,7.7,79,65,70,63,75,352,70.4,B,Pass,2024
STU0040,Male,Science,Group C,75-90%,High School,Yes,No,5.4,42,48,60,65,60,275,55.0,C,Pass,2022
STU0041,Male,Arts,Group A,Below 60%,Graduate,No,No,5.4,32,39,25,46,42,184,36.8,D,Fail,2023
STU0042,Female,Commerce,Group B,60-75%,Post Graduate,No,No,7.2,41,36,47,39,35,198,39.6,D,Fail,2022
STU0043,Female,Technology,Group A,75-90%,High School,No,No,4.9,52,52,56,40,45,245,49.0,D,Pass,2024
STU0044,Male,Commerce,Group C,60-75%,Post Graduate,No,No,2.6,41,46,46,51,48,232,46.4,D,Pass,2024
STU0045,Female,Commerce,Group C,75-90%,Graduate,No,No,3.2,51,48,54,54,62,269,53.8,C,Pass,2024
STU0046,Male,Management,Group C,60-75%,High School,No,No,3.5,33,24,30,41,34,162,32.4,D,Fail,2023
STU0047,Male,Science,Group C,75-90%,High School,Yes,No,4.4,72,75,73,81,76,377,75.4,B,Pass,2023
STU0048,Male,Commerce,Group B,75-90%,Graduate,Yes,Yes,1.6,62,61,59,68,48,298,59.6,C,Pass,2022
STU0049,Female,Science,Group B,60-75%,Post Graduate,No,No,1.7,54,39,49,63,52,257,51.4,C,Pass,2022
STU0050,Female,Commerce,Group C,Below 60%,High School,Yes,Yes,5.9,53,45,55,52,57,262,52.4,C,Pass,2024
STU0051,Male,Technology,Group A,60-75%,Graduate,Yes,No,3.2,41,53,38,47,45,224,44.8,D,Pass,2024
STU0052,Female,Management,Group C,Above 90%,High School,No,No,6.1,64,55,60,49,54,282,56.4,C,Pass,2024
STU0053,Male,Arts,Group C,Below 60%,High School,Yes,No,5.1,60,49,59,61,56,285,57.0,C,Pass,2024
STU0054,Male,Technology,Group B,Above 90%,Graduate,No,No,6.7,49,54,66,55,73,297,59.4,C,Pass,2024
STU0055,Female,Science,Group A,Below 60%,Graduate,No,No,3.9,46,30,46,43,41,206,41.2,D,Pass,2022
STU0056,Female,Management,Group A,Above 90%,Post Graduate,No,Yes,5.4,77,71,84,72,74,378,75.6,B,Pass,2022
STU0057,Female,Commerce,Group A,Below 60%,Post Graduate,No,Yes,6.0,65,62,66,69,59,321,64.2,C,Pass,2024
STU0058,Female,Arts,Group C,Above 90%,Graduate,Yes,No,6.4,78,67,70,76,76,367,73.4,B,Pass,2023
STU0059,Female,Arts,Group A,Below 60%,Graduate,No,No,7.1,33,26,38,20,41,158,31.6,D,Fail,2024
STU0060,Female,Commerce,Group C,60-75%,Graduate,Yes,No,2.1,39,24,47,40,29,179,35.8,D,Fail,2022
STU0061,Female,Commerce,Group A,Below 60%,Graduate,Yes,No,3.4,37,41,41,25,46,190,38.0,D,Fail,2024
STU0062,Male,Technology,Group C,75-90%,Post Graduate,No,No,7.4,47,58,56,66,60,287,57.4,C,Pass,2022
STU0063,Female,Science,Group A,Below 60%,Post Graduate,Yes,No,2.0,26,49,41,37,44,197,39.4,D,Fail,2024
STU0064,Male,Technology,Group C,60-75%,High School,Yes,No,5.7,44,47,49,46,46,232,46.4,D,Pass,2023
STU0065,Male,Arts,Group C,Below 60%,Graduate,No,No,1.7,49,46,53,65,51,264,52.8,C,Pass,2023
STU0066,Female,Management,Group C,75-90%,Post Graduate,No,,6.2,67,74,60,82,65,348,69.6,B,Pass,2023
STU0067,Female,Commerce,Group C,60-75%,Post Graduate,Yes,No,1.3,45,54,53,63,60,275,55.0,C,Pass,2023
STU0068,Female,Science,Group C,60-75%,High School,No,No,2.9,47,48,35,39,50,219,43.8,D,Pass,2022
STU0069,Female,Arts,Group B,75-90%,Post Graduate,No,Yes,7.8,71,83,70,69,55,348,69.6,B,Pass,2024
STU0070,Male,Arts,Group B,Above 90%,High School,No,Yes,5.7,73,65,70,61,61,330,66.0,B,Pass,2023
STU0071,Female,Science,Group C,60-75%,Post Graduate,Yes,No,1.7,58,61,61,49,58,287,57.4,C,Pass,2024
STU0072,Female,Commerce,Group B,Above 90%,Graduate,No,Yes,2.5,57,55,58,64,75,309,61.8,C,Pass,2023
STU0073,Female,Commerce,Group A,Below 60%,Post Graduate,No,No,5.5,38,44,42,25,38,187,37.4,D,Fail,2024
STU0074,Male,Science,Group A,75-90%,High School,Yes,Yes,6.5,71,68,73,79,88,379,75.8,B,Pass,2024
STU0075,Female,Science,Group A,60-75%,High School,No,Yes,2.2,55,67,57,57,62,298,59.6,C,Pass,2022
STU0076,Female,Commerce,Group B,Below 60%,Post Graduate,Yes,No,6.5,39,52,50,48,46,235,47.0,D,Pass,2024
STU0077,Female,Management,Group B,Above 90%,Post Graduate,Yes,Yes,3.3,79,92,89,70,89,419,83.8,A,Pass,2022
STU0078,Male,Science,Group C,75-90%,Post Graduate,No,No,5.6,50,49,49,47,40,235,47.0,D,Pass,2024
STU0079,Female,Commerce,Group B,Above 90%,High School,No,No,5.8,62,54,60,56,71,303,60.6,C,Pass,2023
STU0080,Male,Science,Group C,Below 60%,High School,No,Yes,1.9,36,39,44,41,44,204,40.8,D,Pass,2023
STU0081,Male,Technology,Group A,75-90%,Post Graduate,No,No,3.6,53,52,52,65,62,284,56.8,C,Pass,2023
STU0082,Male,Management,Group A,Above 90%,Post Graduate,Yes,No,5.0,85,75,81,91,77,409,81.8,A,Pass,2023
STU0083,Male,Science,Group B,Below 60%,High School,Yes,No,7.2,41,38,44,49,37,209,41.8,D,Pass,2022
STU0084,Male,Commerce,Group B,Below 60%,Graduate,No,No,5.7,29,35,39,31,35,169,33.8,D,Fail,2024
STU0085,Female,Technology,Group A,Below 60%,High School,No,Yes,4.5,67,54,44,52,56,273,54.6,C,Pass,2023
STU0086,Male,Commerce,Group A,Above 90%,Post Graduate,Yes,No,4.0,67,55,63,66,63,314,62.8,C,Pass,2023
STU0087,Female,Technology,Group A,Below 60%,Graduate,Yes,No,2.7,40,55,38,60,54,247,49.4,D,Pass,2024
STU0088,Male,Technology,Group B,Above 90%,Graduate,No,Yes,3.5,73,70,71,79,85,378,75.6,B,Pass,2024
STU0089,Male,Commerce,Group A,Below 60%,High School,No,Yes,6.3,31,35,34,38,30,168,33.6,D,Fail,2024
STU0090,Female,Technology,Group B,75-90%,High School,No,Yes,4.2,63,61,63,55,61,303,60.6,C,Pass,2022
STU0091,Female,Arts,Group B,Below 60%,Post Graduate,Yes,No,2.3,20,27,26,35,23,131,26.2,D,Fail,2024
STU0092,Male,Technology,Group C,Below 60%,Graduate,Yes,No,5.3,59,64,56,63,54,296,59.2,C,Pass,2023
STU0093,Female,Arts,Group C,Above 90%,Graduate,No,Yes,5.6,71,80,77,70,82,380,76.0,B,Pass,2024
STU0094,Female,Commerce,Group B,Below 60%,Post Graduate,Yes,No,3.6,55,50,61,62,55,283,56.6,C,Pass,2023
STU0095,Male,Commerce,Group B,Above 90%,Post Graduate,No,Yes,2.1,81,62,75,79,93,390,78.0,B,Pass,2023
STU0096,Male,Science,Group A,75-90%,Post Graduate,Yes,No,3.9,82,74,63,76,78,373,74.6,B,Pass,2024
STU0097,Female,Commerce,Group C,75-90%,Post Graduate,No,Yes,,84,72,58,73,77,364,72.8,B,Pass,2023
STU0098,Female,Technology,Group A,Above 90%,Post Graduate,No,Yes,1.7,73,76,83,82,70,384,76.8,B,Pass,2024
STU0099,Female,Science,Group C,Below 60%,High School,No,No,1.2,50,49,43,38,46,226,45.2,D,Pass,2022
STU0100,Female,Technology,Group A,60-75%,Graduate,Yes,No,3.0,75,77,67,74,70,363,72.6,B,Pass,2023
STU0101,Female,Commerce,Group A,Above 90%,Post Graduate,Yes,Yes,3.0,90,70,77,76,78,391,78.2,B,Pass,2023
STU0102,Male,Science,Group A,60-75%,Graduate,No,,3.0,56,54,61,52,58,281,56.2,C,Pass,2022
STU0103,Female,Management,Group C,60-75%,Post Graduate,No,Yes,4.6,46,43,62,41,50,242,48.4,D,Pass,2022
STU0104,Female,Technology,Group B,Below 60%,Post Graduate,No,No,5.1,34,43,41,38,37,193,38.6,D,Fail,2023
STU0105,Male,Commerce,Group C,75-90%,Post Graduate,No,Yes,4.2,58,48,49,67,59,281,56.2,C,Pass,2023
STU0106,Male,Commerce,Group C,60-75%,High School,No,No,7.0,44,36,38,34,34,186,37.2,D,Fail,2022
STU0107,Female,Arts,Group C,Below 60%,Graduate,No,No,6.6,26,20,24,20,20,110,22.0,D,Fail,2023
STU0108,Female,Science,Group B,Below 60%,Graduate,Yes,No,4.1,53,48,55,49,47,252,50.4,C,Pass,2023
STU0109,Female,Science,Group C,Above 90%,Graduate,Yes,Yes,5.3,70,77,67,78,74,366,73.2,B,Pass,2023
STU0110,Male,Science,Group B,Below 60%,High School,No,No,1.5,41,45,46,36,46,214,42.8,D,Pass,2022
STU0111,Female,Management,Group A,Above 90%,Graduate,No,Yes,5.9,80,66,78,88,87,399,79.8,B,Pass,2022
STU0112,Female,Management,Group A,Above 90%,High School,Yes,Yes,3.2,67,61,64,58,53,303,60.6,C,Pass,2023
STU0113,Female,Science,Group C,75-90%,High School,Yes,No,5.0,85,69,65,62,68,349,69.8,B,Pass,2023
STU0114,Male,Management,Group C,Below 60%,High School,No,No,5.5,30,39,28,54,45,196,39.2,D,Fail,2023
STU0115,Female,Technology,Group B,60-75%,Post Graduate,Yes,Yes,7.5,46,50,41,45,50,232,46.4,D,Pass,2022
STU0116,Female,Arts,Group A,Below 60%,Graduate,Yes,No,2.2,31,44,41,29,32,177,35.4,D,Fail,2024
STU0117,Female,Management,Group C,Below 60%,High School,Yes,Yes,7.2,49,55,60,52,52,268,53.6,C,Pass,2024
STU0118,Female,Arts,Group B,Above 90%,High School,No,No,3.2,70,63,71,72,77,353,70.6,B,Pass,2024
STU0119,Female,Arts,Group B,Above 90%,High School,No,Yes,7.0,78,72,76,91,79,396,79.2,B,Pass,2023
STU0120,Male,Commerce,Group A,75-90%,Post Graduate,No,Yes,4.5,58,53,58,75,60,304,60.8,C,Pass,2022
STU0121,Female,Commerce,Group C,Below 60%,,No,No,7.2,42,41,49,52,43,227,45.4,D,Pass,2024
STU0122,Female,Arts,Group C,75-90%,High School,No,Yes,6.8,58,59,65,52,63,297,59.4,C,Pass,2024
STU0123,Male,Management,Group B,60-75%,High School,No,No,1.3,40,47,48,41,43,219,43.8,D,Pass,2024
STU0124,Female,Arts,Group C,Above 90%,High School,Yes,No,4.6,74,60,62,61,64,321,64.2,C,Pass,2023
STU0125,Female,Management,Group C,Above 90%,High School,No,No,5.2,77,68,83,80,67,375,75.0,B,Pass,2023
STU0126,Male,Management,Group C,Below 60%,Post Graduate,No,Yes,7.6,34,42,37,39,38,190,38.0,D,Fail,2022
STU0127,Male,Commerce,Group B,Above 90%,Graduate,No,Yes,1.4,66,74,60,79,64,343,68.6,B,Pass,2022
STU0128,Male,Management,Group B,75-90%,,No,No,5.8,66,61,67,62,57,313,62.6,C,Pass,2024
STU0129,Female,Arts,Group A,60-75%,High School,No,No,,65,72,63,68,64,332,66.4,B,Pass,2024
STU0130,Female,Arts,Group B,Below 60%,Post Graduate,No,No,4.1,50,52,57,52,48,259,51.8,C,Pass,2023
STU0131,Male,Technology,Group A,60-75%,Post Graduate,No,No,2.6,66,60,61,64,57,308,61.6,C,Pass,2022
STU0132,Female,Technology,Group C,Above 90%,High School,Yes,Yes,6.3,84,77,76,74,85,396,79.2,B,Pass,2023
STU0133,Female,Arts,Group A,Below 60%,High School,Yes,Yes,2.3,45,41,39,46,30,201,40.2,D,Pass,2024
STU0134,Male,Arts,Group B,Below 60%,Graduate,Yes,No,2.9,36,21,32,39,39,167,33.4,D,Fail,2022
STU0135,Male,Arts,Group A,Above 90%,Post Graduate,No,Yes,7.3,63,64,70,80,84,361,72.2,B,Pass,2023
STU0136,Female,Management,Group A,Below 60%,Graduate,Yes,Yes,3.3,36,40,34,29,35,174,34.8,D,Fail,2024
STU0137,Male,Management,Group A,75-90%,Post Graduate,No,Yes,6.4,57,68,69,76,57,327,65.4,B,Pass,2024
STU0138,Female,Science,Group A,75-90%,Post Graduate,Yes,Yes,6.3,65,70,63,59,51,308,61.6,C,Pass,2024
STU0139,Male,Commerce,Group A,Below 60%,Post Graduate,No,No,2.2,41,49,33,45,50,218,43.6,D,Pass,2024
STU0140,Male,Technology,Group C,60-75%,Post Graduate,No,Yes,5.7,56,59,59,47,52,273,54.6,C,Pass,2023
STU0141,Female,Science,Group A,75-90%,High School,Yes,Yes,4.3,66,59,61,78,51,315,63.0,C,Pass,2023
STU0142,Male,Technology,Group B,60-75%,Post Graduate,No,No,1.9,37,31,34,46,30,178,35.6,D,Fail,2023
STU0143,Male,Science,Group A,Above 90%,Post Graduate,Yes,Yes,2.6,64,71,82,74,83,374,74.8,B,Pass,2023
STU0144,Male,Arts,Group C,75-90%,High School,Yes,Yes,1.2,66,61,60,61,63,311,62.2,C,Pass,2024
STU0145,Male,Science,Group C,Below 60%,Graduate,No,Yes,6.1,62,57,53,48,61,281,56.2,C,Pass,2023
STU0146,Female,Management,Group B,60-75%,Graduate,Yes,Yes,4.0,64,73,58,70,57,322,64.4,C,Pass,2023
STU0147,Female,Science,Group B,Above 90%,Post Graduate,No,No,6.0,76,71,65,75,67,354,70.8,B,Pass,2023
STU0148,Female,Science,Group A,Above 90%,Post Graduate,Yes,No,6.8,77,77,74,65,77,370,74.0,B,Pass,2022
STU0149,Female,Arts,Group B,Below 60%,High School,Yes,Yes,6.2,70,53,67,58,61,309,61.8,C,Pass,2024
STU0150,Male,Technology,Group B,60-75%,Graduate,Yes,No,1.7,52,44,50,39,47,232,46.4,D,Pass,2024
STU0151,Female,Technology,Group A,60-75%,Graduate,No,No,3.9,43,47,47,53,41,231,46.2,D,Pass,2022
STU0152,Female,Commerce,Group C,60-75%,Graduate,Yes,No,4.4,40,47,57,57,46,247,49.4,D,Pass,2022
STU0153,Male,Arts,Group C,60-75%,Post Graduate,No,Yes,1.3,77,66,76,89,83,391,78.2,B,Pass,2022
STU0154,Male,Technology,Group A,60-75%,High School,Yes,Yes,4.4,55,48,50,49,50,252,50.4,C,Pass,2022
STU0155,Female,Management,Group A,Below 60%,High School,No,No,4.7,27,20,32,34,39,152,30.4,D,Fail,2022
STU0156,Female,Commerce,Group B,75-90%,Graduate,No,Yes,1.6,74,76,84,72,87,393,78.6,B,Pass,2024
STU0157,Male,Science,Group A,Above 90%,Graduate,No,No,7.8,51,68,63,55,54,291,58.2,C,Pass,2022
STU0158,Male,Management,Group A,60-75%,High School,No,No,7.0,56,59,66,58,57,296,59.2,C,Pass,2022
STU0159,Male,Commerce,Group C,Above 90%,High School,No,Yes,2.0,87,66,82,70,84,389,77.8,B,Pass,2024
STU0160,Female,Science,Group A,Below 60%,High School,No,Yes,2.9,49,46,39,40,39,213,42.6,D,Pass,2023
STU0161,Male,Technology,Group A,75-90%,Post Graduate,No,No,1.6,46,62,58,58,45,269,53.8,C,Pass,2022
STU0162,Male,Technology,Group A,Above 90%,Graduate,No,Yes,4.1,82,78,84,84,84,412,82.4,A,Pass,2024
STU0163,Female,Management,Group C,Below 60%,High School,Yes,No,1.6,58,51,58,52,59,278,55.6,C,Pass,2024
STU0164,Male,Commerce,Group B,Above 90%,High School,Yes,No,3.5,74,73,74,67,81,369,73.8,B,Pass,2022
STU0165,Male,Technology,Group A,Above 90%,High School,Yes,No,6.7,77,70,72,75,83,377,75.4,B,Pass,2024
STU0166,Male,Management,Group B,75-90%,Graduate,Yes,No,6.5,73,64,75,56,56,324,64.8,C,Pass,2023
STU0167,Female,Technology,Group C,Above 90%,Graduate,Yes,Yes,2.5,84,85,83,82,70,404,80.8,A,Pass,2023
STU0168,Female,Science,Group B,Above 90%,High School,No,Yes,3.8,60,68,66,76,67,337,67.4,B,Pass,2024
STU0169,Male,Technology,Group A,75-90%,Post Graduate,Yes,Yes,3.8,64,67,67,79,67,344,68.8,B,Pass,2023
STU0170,Male,Technology,Group C,Below 60%,High School,No,Yes,5.8,40,46,44,42,52,224,44.8,D,Pass,2024
STU0171,Male,Management,Group B,75-90%,High School,No,Yes,4.2,58,60,58,54,54,284,56.8,C,Pass,2022
STU0172,Female,Management,Group C,75-90%,Graduate,Yes,No,5.5,57,59,71,72,70,329,65.8,B,Pass,2024
STU0173,Male,Commerce,Group C,60-75%,Post Graduate,Yes,No,3.8,50,49,40,51,55,245,49.0,D,Pass,2024
STU0174,Male,Management,Group A,Above 90%,Post Graduate,No,No,7.1,61,65,56,68,66,316,63.2,C,Pass,2022
STU0175,Female,Arts,Group C,60-75%,Graduate,Yes,No,3.4,55,56,56,54,56,277,55.4,C,Pass,2023
STU0176,Male,Management,Group B,75-90%,Post Graduate,Yes,Yes,2.0,81,81,85,70,77,394,78.8,B,Pass,2023
STU0177,Male,Technology,Group B,Above 90%,Post Graduate,Yes,Yes,4.4,82,83,72,90,67,394,78.8,B,Pass,2022
STU0178,Female,Technology,Group C,Above 90%,Post Graduate,No,No,2.9,66,73,72,72,66,349,69.8,B,Pass,2024
STU0179,Male,Arts,Group C,Above 90%,Post Graduate,No,Yes,6.0,92,87,81,86,83,429,85.8,A,Pass,2024
STU0180,Female,Commerce,Group A,Below 60%,Post Graduate,Yes,No,2.7,39,40,33,50,37,199,39.8,D,Fail,2024
STU0181,Female,Management,Group A,Above 90%,High School,Yes,Yes,3.0,76,75,82,93,98,424,84.8,A,Pass,2024
STU0182,Male,Arts,Group C,60-75%,Graduate,Yes,No,5.7,74,66,74,71,57,342,68.4,B,Pass,2023
STU0183,Female,Commerce,Group C,Above 90%,Graduate,No,Yes,4.2,68,70,83,73,67,361,72.2,B,Pass,2023
STU0184,Male,Arts,Group A,Below 60%,Post Graduate,No,No,3.0,36,53,40,36,42,207,41.4,D,Pass,2024
STU0185,Male,Management,Group A,Above 90%,,Yes,Yes,7.9,61,83,70,73,74,361,72.2,B,Pass,2023
STU0186,Male,Commerce,Group C,75-90%,High School,No,Yes,,67,61,59,75,68,330,66.0,B,Pass,2022
STU0187,Male,Technology,Group A,Below 60%,High School,Yes,No,7.9,52,48,48,44,38,230,46.0,D,Pass,2023
STU0188,Female,Commerce,Group C,Below 60%,High School,No,Yes,7.1,46,45,52,39,56,238,47.6,D,Pass,2024
STU0189,Male,Commerce,Group B,Below 60%,Post Graduate,Yes,No,1.6,34,46,47,37,32,196,39.2,D,Fail,2022
STU0190,Male,Commerce,Group A,Above 90%,Graduate,No,,7.6,75,67,73,66,62,343,68.6,B,Pass,2022
STU0191,Male,Arts,Group C,60-75%,Post Graduate,No,No,5.2,70,72,64,72,70,348,69.6,B,Pass,2024
STU0192,Female,Science,Group B,75-90%,High School,No,No,1.1,54,37,57,63,58,269,53.8,C,Pass,2022
STU0193,Male,Science,Group B,Above 90%,Post Graduate,No,No,4.6,63,57,64,64,71,319,63.8,C,Pass,2022
STU0194,Female,Commerce,Group C,Above 90%,Post Graduate,Yes,No,5.3,59,54,57,56,52,278,55.6,C,Pass,2022
STU0195,Male,Arts,Group A,Below 60%,High School,Yes,Yes,6.2,45,34,44,45,51,219,43.8,D,Pass,2023
STU0196,Male,Science,Group B,75-90%,Graduate,No,Yes,5.0,57,71,68,60,70,326,65.2,B,Pass,2023
STU0197,Female,Commerce,Group C,Below 60%,Post Graduate,Yes,Yes,2.1,50,53,47,43,51,244,48.8,D,Pass,2022
STU0198,Female,Management,Group C,60-75%,Graduate,Yes,No,2.6,58,45,47,47,46,243,48.6,D,Pass,2024
STU0199,Female,Science,Group B,Below 60%,Graduate,No,No,2.7,50,44,50,50,37,231,46.2,D,Pass,2023
STU0200,Female,Management,Group A,60-75%,Post Graduate,Yes,Yes,3.3,64,56,62,64,63,309,61.8,C,Pass,2024
