Student_ID,Gender,Department,Study_Group,Attendance_Range,Parental_Education,Internet_Access,Private_Tuition,Study_Hours_Daily,Math_Score,Science_Score,English_Score,Social_Score,Computer_Score,Total_Marks,Average_Score,Grade,Result,Academic_Year
STU0201,Female,Technology,Group B,Below 60%,High School,Yes,No,6.9,61,68,68,70,67,334,66.8,B,Pass,2023
STU0202,Female,Arts,Group C,Below 60%,Post Graduate,Yes,Yes,2.8,52,48,52,59,53,264,52.8,C,Pass,2023
STU0203,Female,Technology,Group A,75-90%,Graduate,No,Yes,3.2,70,72,69,78,76,365,73.0,B,Pass,2022
STU0204,Female,Management,Group B,60-75%,Graduate,No,No,2.5,50,53,48,49,44,244,48.8,D,Pass,2023
STU0205,Male,Commerce,Group C,60-75%,Graduate,No,Yes,4.9,64,60,64,58,47,293,58.6,C,Pass,2022
STU0206,Male,Technology,Group A,60-75%,High School,Yes,Yes,2.8,81,67,78,67,66,359,71.8,B,Pass,2022
STU0207,Male,Science,Group A,60-75%,Post Graduate,No,Yes,5.0,64,69,71,66,71,341,68.2,B,Pass,2024
STU0208,Female,Technology,Group B,Below 60%,Graduate,No,Yes,2.7,52,46,59,58,50,265,53.0,C,Pass,2023
STU0209,Female,Technology,Group B,Above 90%,High School,Yes,No,6.6,78,80,71,66,67,362,72.4,B,Pass,2023
STU0210,Female,Arts,Group B,Above 90%,Graduate,No,No,7.9,74,72,80,70,67,363,72.6,B,Pass,2024
STU0211,Male,Arts,Group B,60-75%,High School,Yes,Yes,7.9,46,48,40,57,46,237,47.4,D,Pass,2023
STU0212,Male,Arts,Group C,60-75%,High School,No,No,7.9,63,69,60,58,60,310,62.0,C,Pass,2023
STU0213,Female,Management,Group A,60-75%,,Yes,Yes,1.9,67,63,63,67,61,321,64.2,C,Pass,2024
STU0214,Female,Commerce,Group A,Below 60%,High School,Yes,Yes,1.7,52,67,60,68,59,306,61.2,C,Pass,2023
STU0215,Male,Arts,Group C,60-75%,Post Graduate,No,No,5.7,53,33,40,39,41,206,41.2,D,Pass,2022
STU0216,Female,Technology,Group C,75-90%,High School,Yes,Yes,7.4,78,96,80,89,82,425,85.0,A,Pass,2024
STU0217,Male,Commerce,Group A,Above 90%,High School,No,Yes,6.1,75,60,61,75,62,333,66.6,B,Pass,2023
STU0218,Male,Technology,Group B,75-90%,High School,Yes,Yes,7.2,75,78,72,70,57,352,70.4,B,Pass,2023
STU0219,Female,Technology,Group A,Above 90%,High School,No,Yes,3.4,64,62,61,61,64,312,62.4,C,Pass,2023
STU0220,Male,Commerce,Group B,Below 60%,Graduate,No,Yes,2.3,51,55,50,56,54,266,53.2,C,Pass,2024
STU0221,Female,Management,Group A,75-90%,Graduate,Yes,Yes,6.8,69,63,65,68,65,330,66.0,B,Pass,2024
STU0222,Female,Management,Group A,60-75%,High School,Yes,Yes,7.3,36,45,49,50,42,222,44.4,D,Pass,2023
STU0223,Female,Science,Group A,60-75%,Graduate,No,No,6.3,45,39,44,43,46,217,43.4,D,Pass,2024
STU0224,Male,Science,Group C,75-90%,Post Graduate,No,Yes,5.0,77,59,73,69,62,340,68.0,B,Pass,2022
STU0225,Female,Technology,Group A,Below 60%,Graduate,Yes,Yes,1.3,59,64,60,62,65,310,62.0,C,Pass,2022
STU0226,Male,Technology,Group C,60-75%,Post Graduate,No,No,4.2,51,47,55,49,56,258,51.6,C,Pass,2022
STU0227,Female,Management,Group C,Below 60%,Graduate,Yes,Yes,3.0,36,54,37,38,40,205,41.0,D,Pass,2024
STU0228,Female,Arts,Group A,75-90%,Graduate,No,No,7.2,69,57,58,58,67,309,61.8,C,Pass,2024
STU0229,Male,Commerce,Group B,Above 90%,Graduate,No,Yes,7.1,73,76,83,76,75,383,76.6,B,Pass,2022
STU0230,Female,Arts,Group A,75-90%,Graduate,No,Yes,1.4,56,45,54,44,50,249,49.8,D,Pass,2022
STU0231,Female,Science,Group A,Above 90%,High School,Yes,Yes,2.4,80,85,84,90,85,424,84.8,A,Pass,2023
STU0232,Female,Technology,Group B,Below 60%,Post Graduate,Yes,Yes,6.9,44,50,42,38,42,216,43.2,D,Pass,2023
STU0233,Female,Science,Group C,Below 60%,Graduate,Yes,Yes,4.6,49,54,57,56,62,278,55.6,C,Pass,2024
STU0234,Female,Science,Group A,60-75%,Post Graduate,Yes,Yes,3.6,73,57,75,58,57,320,64.0,C,Pass,2023
STU0235,Female,Technology,Group C,60-75%,Graduate,No,No,5.3,61,51,49,50,63,274,54.8,C,Pass,2023
STU0236,Female,Science,Group B,Below 60%,Graduate,No,No,7.3,48,43,36,46,47,220,44.0,D,Pass,2024
STU0237,Female,Technology,Group B,60-75%,Post Graduate,Yes,No,2.3,60,53,55,52,46,266,53.2,C,Pass,2024
STU0238,Female,Commerce,Group C,75-90%,Post Graduate,No,Yes,6.3,68,74,73,70,82,367,73.4,B,Pass,2022
STU0239,Male,Arts,Group B,60-75%,Graduate,Yes,No,7.1,51,56,60,61,51,279,55.8,C,Pass,2024
STU0240,Male,Management,Group C,Above 90%,High School,Yes,No,5.0,73,73,69,73,77,365,73.0,B,Pass,2023
STU0241,Female,Commerce,Group C,60-75%,High School,No,No,5.0,56,63,58,59,66,302,60.4,C,Pass,2022
STU0242,Male,Technology,Group B,60-75%,Post Graduate,No,No,7.2,44,49,41,39,27,200,40.0,D,Pass,2024
STU0243,Male,Commerce,Group C,Below 60%,Post Graduate,Yes,Yes,1.3,54,63,61,57,60,295,59.0,C,Pass,2023
STU0244,Female,Technology,Group B,Above 90%,Post Graduate,Yes,No,6.1,71,81,65,64,71,352,70.4,B,Pass,2022
STU0245,Male,Commerce,Group B,60-75%,High School,No,Yes,5.6,59,60,62,72,62,315,63.0,C,Pass,2022
STU0246,Male,Science,Group C,Above 90%,Graduate,No,Yes,1.7,84,77,82,82,75,400,80.0,A,Pass,2024
STU0247,Male,Arts,Group A,Above 90%,High School,Yes,No,3.5,67,65,68,83,59,342,68.4,B,Pass,2023
STU0248,Male,Arts,Group C,Below 60%,Post Graduate,No,Yes,5.7,52,63,54,65,48,282,56.4,C,Pass,2022
STU0249,Male,Science,Group B,Below 60%,Graduate,Yes,No,5.7,46,49,35,48,40,218,43.6,D,Pass,2023
STU0250,Male,Science,Group B,Below 60%,High School,Yes,Yes,2.3,52,38,40,58,53,241,48.2,D,Pass,2023
STU0251,Female,Technology,Group C,75-90%,Graduate,No,No,1.7,61,70,69,77,62,339,67.8,B,Pass,2024
STU0252,Female,Technology,Group C,60-75%,Post Graduate,No,No,1.8,63,70,50,72,71,326,65.2,B,Pass,2023
STU0253,Male,Technology,Group C,Below 60%,Graduate,No,Yes,7.1,49,54,46,57,69,275,55.0,C,Pass,2024
STU0254,Male,Management,Group B,Above 90%,Post Graduate,Yes,No,1.1,58,72,73,73,60,336,67.2,B,Pass,2022
STU0255,Female,Management,Group B,Above 90%,High School,Yes,No,2.6,89,77,74,68,68,376,75.2,B,Pass,2023
STU0256,Female,Technology,Group A,Below 60%,Graduate,No,No,6.8,51,59,53,61,54,278,55.6,C,Pass,2024
STU0257,Female,Management,Group B,60-75%,Post Graduate,No,No,6.0,46,59,52,57,48,262,52.4,C,Pass,2023
STU0258,Male,Technology,Group B,Below 60%,Post Graduate,Yes,Yes,7.3,52,48,40,43,48,231,46.2,D,Pass,2023
STU0259,Female,Commerce,Group A,Below 60%,Graduate,Yes,Yes,3.9,57,50,62,59,57,285,57.0,C,Pass,2024
STU0260,Male,Management,Group A,Above 90%,Graduate,Yes,No,7.4,69,80,65,61,70,345,69.0,B,Pass,2022
STU0261,Male,Management,Group C,60-75%,High School,No,No,3.4,51,48,51,56,62,268,53.6,C,Pass,2023
STU0262,Male,Technology,Group C,60-75%,Graduate,No,No,7.4,41,49,52,46,40,228,45.6,D,Pass,2022
STU0263,Female,Commerce,Group C,Below 60%,Graduate,No,No,1.2,28,37,49,42,32,188,37.6,D,Fail,2022
STU0264,Male,Science,Group C,60-75%,Graduate,Yes,No,6.7,66,53,51,54,53,277,55.4,C,Pass,2022
STU0265,Male,Management,Group B,Above 90%,High School,No,Yes,2.8,69,64,59,58,59,309,61.8,C,Pass,2024
STU0266,Male,Technology,Group B,75-90%,Post Graduate,Yes,Yes,1.3,56,64,57,50,48,275,55.0,C,Pass,2023
STU0267,Female,Management,Group B,60-75%,High School,No,Yes,5.4,42,52,42,29,33,198,39.6,D,Fail,2024
STU0268,Female,Arts,Group A,75-90%,High School,No,Yes,7.2,52,58,59,48,57,274,54.8,C,Pass,2024
STU0269,Female,Arts,Group C,75-90%,Graduate,Yes,No,5.3,59,83,75,60,79,356,71.2,B,Pass,2024
STU0270,Male,Commerce,Group B,75-90%,Graduate,Yes,No,4.1,57,68,53,49,66,293,58.6,C,Pass,2022
STU0271,Male,Arts,Group A,75-90%,Post Graduate,Yes,Yes,2.5,84,78,85,88,94,429,85.8,A,Pass,2024
STU0272,Male,Technology,Group C,60-75%,Post Graduate,No,Yes,2.8,56,56,55,61,58,286,57.2,C,Pass,2022
STU0273,Male,Management,Group C,75-90%,Graduate,No,No,1.4,57,51,55,65,54,282,56.4,C,Pass,2024
STU0274,Male,Management,Group C,Below 60%,Graduate,Yes,No,4.3,46,44,38,35,49,212,42.4,D,Pass,2024
STU0275,Male,Commerce,Group B,Above 90%,Post Graduate,No,Yes,4.9,55,69,59,55,77,315,63.0,C,Pass,2024
STU0276,Male,Commerce,Group B,Below 60%,High School,No,Yes,2.0,60,50,47,62,44,263,52.6,C,Pass,2022
STU0277,Female,Commerce,Group C,60-75%,High School,Yes,Yes,4.4,55,52,54,62,58,281,56.2,C,Pass,2023
STU0278,Male,Arts,Group A,60-75%,High School,No,Yes,3.6,60,50,51,46,50,257,51.4,C,Pass,2023
STU0279,Male,Technology,Group C,Below 60%,Graduate,Yes,Yes,4.2,46,54,50,50,40,240,48.0,D,Pass,2023
STU0280,Female,Arts,Group A,Below 60%,High School,Yes,No,6.9,46,48,42,47,36,219,43.8,D,Pass,2024
STU0281,Female,Science,Group C,60-75%,High School,No,No,,45,52,59,50,46,252,50.4,C,Pass,2024
STU0282,Female,Science,Group C,75-90%,Post Graduate,Yes,Yes,7.1,58,69,69,59,64,319,63.8,C,Pass,2022
STU0283,Female,Technology,Group A,Below 60%,High School,No,Yes,7.4,51,43,42,49,41,226,45.2,D,Pass,2022
STU0284,Female,Science,Group C,Below 60%,Post Graduate,No,No,4.6,34,31,31,27,25,148,29.6,D,Fail,2023
STU0285,Female,Commerce,Group C,75-90%,Graduate,No,No,2.1,77,72,77,70,76,372,74.4,B,Pass,2022
STU0286,Male,Arts,Group B,60-75%,Graduate,No,Yes,1.9,47,46,49,49,56,247,49.4,D,Pass,2024
STU0287,Male,Commerce,Group A,Below 60%,Post Graduate,Yes,Yes,6.0,56,60,50,51,52,269,53.8,C,Pass,2024
STU0288,Male,Arts,Group A,60-75%,Graduate,No,No,4.6,57,56,56,52,43,264,52.8,C,Pass,2022
STU0289,Female,Arts,Group A,Below 60%,High School,No,No,1.7,46,48,39,40,45,218,43.6,D,Pass,2023
STU0290,Male,Management,Group C,Below 60%,High School,No,Yes,7.1,47,55,44,40,50,236,47.2,D,Pass,2024
STU0291,Female,Management,Group C,60-75%,Graduate,No,No,6.4,43,59,50,51,57,260,52.0,C,Pass,2022
STU0292,Female,Arts,Group C,75-90%,High School,Yes,Yes,1.7,62,60,65,65,57,309,61.8,C,Pass,2023
STU0293,Female,Management,Group C,75-90%,Post Graduate,No,No,3.6,67,58,52,59,51,287,57.4,C,Pass,2024
STU0294,Female,Technology,Group C,75-90%,Post Graduate,No,No,1.7,79,73,72,73,55,352,70.4,B,Pass,2024
STU0295,Female,Technology,Group A,Below 60%,High School,No,Yes,5.3,45,49,50,51,57,252,50.4,C,Pass,2024
STU0296,Female,Technology,Group C,75-90%,Post Graduate,Yes,Yes,6.5,71,80,62,67,71,351,70.2,B,Pass,2024
STU0297,Male,Management,Group A,60-75%,Post Graduate,Yes,No,3.8,29,46,44,34,48,201,40.2,D,Pass,2022
STU0298,Male,Management,Group B,Below 60%,High School,No,No,2.8,45,43,44,54,42,228,45.6,D,Pass,2023
STU0299,Male,Management,Group A,Below 60%,Post Graduate,No,No,7.8,32,54,40,36,42,204,40.8,D,Pass,2024
STU0300,Male,Technology,Group B,75-90%,Graduate,No,Yes,3.2,71,57,58,67,66,319,63.8,C,Pass,2023
STU0301,Male,Management,Group B,75-90%,High School,No,Yes,7.3,51,73,66,54,61,305,61.0,C,Pass,2023
STU0302,Male,Commerce,Group C,Above 90%,Post Graduate,Yes,Yes,6.5,85,81,89,83,75,413,82.6,A,Pass,2022
STU0303,Female,Science,Group B,Below 60%,Post Graduate,Yes,No,7.9,33,50,37,43,33,196,39.2,D,Fail,2024
STU0304,Female,Arts,Group C,60-75%,Post Graduate,Yes,Yes,2.2,59,58,64,57,71,309,61.8,C,Pass,2022
STU0305,Female,Management,Group C,75-90%,Post Graduate,Yes,Yes,2.7,83,71,81,75,83,393,78.6,B,Pass,2023
STU0306,Female,Management,Group A,75-90%,High School,No,No,,53,44,52,39,50,238,47.6,D,Pass,2024
STU0307,Male,Commerce,Group A,75-90%,High School,No,No,8.0,84,78,79,75,78,394,78.8,B,Pass,2024
STU0308,Female,Management,Group B,Above 90%,Graduate,No,Yes,6.2,80,79,82,80,76,397,79.4,B,Pass,2023
STU0309,Female,Arts,Group A,75-90%,Graduate,Yes,No,7.9,65,51,53,52,51,272,54.4,C,Pass,2023
STU0310,Female,Arts,Group B,Above 90%,Post Graduate,No,Yes,4.0,63,79,65,58,57,322,64.4,C,Pass,2024
STU0311,Female,Management,Group A,Below 60%,High School,Yes,No,6.5,48,38,33,28,48,195,39.0,D,Fail,2023
STU0312,Female,Management,Group A,Above 90%,High School,Yes,Yes,1.7,69,87,75,82,80,393,78.6,B,Pass,2022
STU0313,Male,Technology,Group B,Below 60%,Graduate,Yes,Yes,4.1,48,55,48,52,60,263,52.6,C,Pass,2022
STU0314,Male,Commerce,Group B,Below 60%,High School,No,No,4.8,26,31,21,35,35,148,29.6,D,Fail,2024
STU0315,Female,Management,Group B,Above 90%,Post Graduate,No,No,1.0,50,47,54,52,58,261,52.2,C,Pass,2022
STU0316,Female,Arts,Group B,Above 90%,Post Graduate,Yes,No,2.3,77,70,61,70,60,338,67.6,B,Pass,2024
STU0317,Female,Technology,Group A,60-75%,High School,No,No,5.8,55,49,57,60,43,264,52.8,C,Pass,2023
STU0318,Female,Management,Group A,Above 90%,High School,Yes,Yes,1.1,85,73,74,73,74,379,75.8,B,Pass,2022
STU0319,Male,Management,Group A,60-75%,High School,No,No,3.2,37,47,50,40,47,221,44.2,D,Pass,2023
STU0320,Female,Arts,Group A,Below 60%,Graduate,Yes,Yes,3.7,58,48,51,56,49,262,52.4,C,Pass,2022
STU0321,Male,Science,Group A,Above 90%,Graduate,Yes,Yes,3.2,69,49,64,56,68,306,61.2,C,Pass,2023
STU0322,Male,Commerce,Group A,Below 60%,Graduate,No,No,1.1,39,30,26,38,44,177,35.4,D,Fail,2023
STU0323,Male,Management,Group C,Above 90%,High School,Yes,Yes,1.6,75,77,79,85,83,399,79.8,B,Pass,2024
STU0324,Male,Arts,Group A,Below 60%,Graduate,Yes,Yes,6.1,46,37,43,37,56,219,43.8,D,Pass,2022
STU0325,Female,Technology,Group C,60-75%,Graduate,Yes,No,6.1,50,47,45,51,53,246,49.2,D,Pass,2023
STU0326,Male,Management,Group B,Below 60%,Post Graduate,Yes,No,7.2,42,39,51,37,48,217,43.4,D,Pass,2024
STU0327,Male,Arts,Group A,75-90%,Post Graduate,Yes,No,1.8,54,47,53,51,63,268,53.6,C,Pass,2024
STU0328,Male,Science,Group A,60-75%,High School,Yes,Yes,5.9,59,49,55,54,53,270,54.0,C,Pass,2023
STU0329,Female,Science,Group A,60-75%,Post Graduate,Yes,Yes,6.2,41,56,47,48,48,240,48.0,D,Pass,2023
STU0330,Male,Arts,Group B,75-90%,Post Graduate,Yes,Yes,2.4,79,75,77,78,83,392,78.4,B,Pass,2024
STU0331,Male,Commerce,Group C,Above 90%,Post Graduate,Yes,No,3.4,62,63,58,63,66,312,62.4,C,Pass,2022
STU0332,Female,Management,Group B,75-90%,Graduate,No,No,6.4,54,59,53,56,59,281,56.2,C,Pass,2024
STU0333,Female,Arts,Group C,Above 90%,Graduate,No,Yes,7.9,82,84,81,82,80,409,81.8,A,Pass,2022
STU0334,Male,Arts,Group A,75-90%,Post Graduate,Yes,,3.1,69,67,78,68,73,355,71.0,B,Pass,2024
STU0335,Male,Technology,Group A,Below 60%,Post Graduate,No,No,1.3,23,20,20,31,27,121,24.2,D,Fail,2024
STU0336,Male,Technology,Group B,Below 60%,Graduate,No,No,5.4,42,44,35,53,32,206,41.2,D,Pass,2024
STU0337,Male,Technology,Group C,75-90%,Post Graduate,Yes,No,7.8,56,57,55,47,40,255,51.0,C,Pass,2024
STU0338,Male,Management,Group A,60-75%,Graduate,No,No,4.5,54,50,51,49,53,257,51.4,C,Pass,2024
STU0339,Male,Commerce,Group B,Above 90%,Post Graduate,Yes,No,6.4,65,61,63,69,71,329,65.8,B,Pass,2023
STU0340,Male,Management,Group B,Below 60%,Post Graduate,No,No,5.3,40,34,35,28,52,189,37.8,D,Fail,2023
STU0341,Male,Management,Group C,Above 90%,High School,Yes,Yes,7.5,77,72,68,86,75,378,75.6,B,Pass,2023
STU0342,Female,Science,Group A,Below 60%,Graduate,No,No,5.4,42,35,39,33,25,174,34.8,D,Fail,2022
STU0343,Female,Science,Group B,Below 60%,Graduate,Yes,Yes,5.6,65,55,62,59,56,297,59.4,C,Pass,2024
STU0344,Male,Arts,Group B,Below 60%,Graduate,No,Yes,2.4,34,41,32,32,33,172,34.4,D,Fail,2023
STU0345,Male,Management,Group B,Below 60%,High School,No,No,7.8,38,33,40,32,33,176,35.2,D,Fail,2024
STU0346,Male,Arts,Group A,75-90%,Graduate,Yes,No,5.3,85,73,73,61,85,377,75.4,B,Pass,2024
STU0347,Female,Commerce,Group B,60-75%,Post Graduate,Yes,No,6.6,58,57,60,66,66,307,61.4,C,Pass,2022
STU0348,Male,Arts,Group A,Above 90%,High School,Yes,No,6.4,48,57,56,61,47,269,53.8,C,Pass,2023
STU0349,Female,Technology,Group A,Above 90%,Post Graduate,No,Yes,2.6,81,79,72,78,86,396,79.2,B,Pass,2022
STU0350,Male,Commerce,Group C,75-90%,High School,No,Yes,2.1,67,70,70,67,77,351,70.2,B,Pass,2022
STU0351,Female,Science,Group C,Below 60%,Graduate,No,Yes,5.3,41,46,48,52,43,230,46.0,D,Pass,2024
STU0352,Female,Arts,Group C,60-75%,Graduate,No,Yes,4.7,51,54,63,56,49,273,54.6,C,Pass,2024
STU0353,Male,Science,Group C,Above 90%,Graduate,Yes,Yes,2.3,53,63,58,59,42,275,55.0,C,Pass,2023
STU0354,Female,Technology,Group B,75-90%,Graduate,Yes,No,6.1,61,59,62,66,57,305,61.0,C,Pass,2022
STU0355,Male,Commerce,Group A,Above 90%,Graduate,No,No,5.8,78,70,68,66,72,354,70.8,B,Pass,2024
STU0356,Male,Commerce,Group A,Below 60%,High School,No,No,3.7,31,34,26,38,30,159,31.8,D,Fail,2022
STU0357,Male,Arts,Group B,60-75%,High School,Yes,Yes,7.7,67,63,57,64,70,321,64.2,C,Pass,2022
STU0358,Female,Management,Group C,Below 60%,Graduate,No,No,4.1,36,39,44,39,38,196,39.2,D,Fail,2024
STU0359,Male,Management,Group A,60-75%,Post Graduate,No,Yes,5.2,60,57,61,68,60,306,61.2,C,Pass,2023
STU0360,Male,Science,Group C,Below 60%,Graduate,Yes,Yes,6.2,59,48,44,33,44,228,45.6,D,Pass,2023
STU0361,Male,Science,Group A,75-90%,Graduate,No,No,3.3,49,67,63,70,69,318,63.6,C,Pass,2023
STU0362,Male,Management,Group C,60-75%,Post Graduate,Yes,Yes,7.9,53,68,61,55,48,285,57.0,C,Pass,2023
STU0363,Female,Technology,Group C,75-90%,Post Graduate,No,Yes,6.0,56,54,54,63,66,293,58.6,C,Pass,2022
STU0364,Male,Science,Group C,Below 60%,Graduate,Yes,Yes,2.4,61,57,66,60,60,304,60.8,C,Pass,2023
STU0365,Male,Arts,Group A,75-90%,Graduate,No,Yes,3.3,60,63,58,69,65,315,63.0,C,Pass,2023
STU0366,Female,Technology,Group A,Below 60%,Post Graduate,Yes,No,6.2,24,27,32,34,27,144,28.8,D,Fail,2024
STU0367,Female,Arts,Group A,Below 60%,High School,No,No,5.0,45,63,49,36,38,231,46.2,D,Pass,2023
STU0368,Male,Commerce,Group B,75-90%,Post Graduate,No,Yes,3.1,63,60,65,64,58,310,62.0,C,Pass,2022
STU0369,Male,Arts,Group B,60-75%,High School,No,Yes,3.3,59,58,66,66,58,307,61.4,C,Pass,2022
STU0370,Male,Management,Group B,60-75%,Post Graduate,Yes,No,1.6,45,66,53,49,45,258,51.6,C,Pass,2023
STU0371,Male,Science,Group B,75-90%,High School,No,Yes,2.1,74,59,68,67,65,333,66.6,B,Pass,2022
STU0372,Male,Science,Group B,60-75%,Post Graduate,No,No,3.4,65,56,61,66,61,309,61.8,C,Pass,2023
STU0373,Male,Science,Group B,Below 60%,Graduate,Yes,Yes,5.9,63,64,67,49,54,297,59.4,C,Pass,2024
STU0374,Female,Arts,Group C,75-90%,High School,Yes,No,6.0,82,80,72,64,77,375,75.0,B,Pass,2023
STU0375,Male,Technology,Group B,60-75%,High School,No,No,1.5,69,51,65,53,63,301,60.2,C,Pass,2022
STU0376,Female,Arts,Group C,Above 90%,High School,No,No,1.5,55,50,62,65,63,295,59.0,C,Pass,2023
STU0377,Female,Management,Group C,Above 90%,Post Graduate,No,Yes,4.0,78,72,75,77,84,386,77.2,B,Pass,2023
STU0378,Female,Management,Group A,60-75%,High School,Yes,No,1.5,43,37,44,55,60,239,47.8,D,Pass,2022
STU0379,Female,Management,Group A,75-90%,Graduate,Yes,Yes,2.0,68,86,75,83,79,391,78.2,B,Pass,2024
STU0380,Female,Arts,Group B,Above 90%,High School,Yes,No,3.4,50,51,67,37,62,267,53.4,C,Pass,2022
STU0381,Male,Management,Group B,Above 90%,High School,No,Yes,3.0,82,99,92,95,91,459,91.8,A,Pass,2022
STU0382,Female,Commerce,Group B,Above 90%,Post Graduate,No,No,7.5,64,56,54,62,65,301,60.2,C,Pass,2023
STU0383,Female,Commerce,Group C,60-75%,High School,Yes,Yes,5.5,76,69,76,78,75,374,74.8,B,Pass,2023
STU0384,Female,Technology,Group B,60-75%,Graduate,No,No,4.5,49,40,42,49,43,223,44.6,D,Pass,2023
STU0385,Female,Management,Group A,Below 60%,High School,No,No,6.3,20,30,26,20,20,116,23.2,D,Fail,2023
STU0386,Male,Technology,Group C,Below 60%,High School,No,Yes,4.3,30,37,39,31,47,184,36.8,D,Fail,2024
STU0387,Female,Technology,Group A,Above 90%,Graduate,No,No,4.3,87,84,76,82,83,412,82.4,A,Pass,2022
STU0388,Male,Management,Group B,75-90%,Post Graduate,Yes,No,7.0,76,76,70,77,76,375,75.0,B,Pass,2022
STU0389,Male,Science,Group A,60-75%,Post Graduate,No,No,1.6,58,38,49,53,44,242,48.4,D,Pass,2022
STU0390,Male,Management,Group C,Above 90%,Graduate,No,Yes,6.3,67,66,72,58,71,334,66.8,B,Pass,2022
STU0391,Male,Science,Group B,Above 90%,Graduate,No,No,2.0,56,60,65,64,60,305,61.0,C,Pass,2023
STU0392,Female,Science,Group A,Above 90%,Graduate,No,Yes,3.3,80,91,83,96,79,429,85.8,A,Pass,2023
STU0393,Female,Science,Group C,Above 90%,Graduate,Yes,Yes,1.1,81,76,79,67,63,366,73.2,B,Pass,2022
STU0394,Male,Management,Group B,Above 90%,Graduate,Yes,No,,73,84,79,65,63,364,72.8,B,Pass,2024
STU0395,Male,Science,Group C,Below 60%,Post Graduate,Yes,No,3.1,37,47,42,49,48,223,44.6,D,Pass,2024
STU0396,Female,Science,Group A,75-90%,Graduate,No,No,6.7,56,66,63,66,61,312,62.4,C,Pass,2022
STU0397,Male,Technology,Group C,Above 90%,High School,No,Yes,6.0,70,71,67,60,60,328,65.6,B,Pass,2022
STU0398,Male,Science,Group A,Below 60%,Post Graduate,No,No,5.9,41,34,34,40,39,188,37.6,D,Fail,2023
STU0399,Male,Management,Group C,Above 90%,Graduate,No,No,4.4,59,69,69,82,66,345,69.0,B,Pass,2024
STU0400,Female,Management,Group A,75-90%,Post Graduate,No,No,4.2,35,52,49,49,45,230,46.0,D,Pass,2023
STU0401,Male,Commerce,Group C,Below 60%,Graduate,Yes,No,2.3,43,39,36,47,37,202,40.4,D,Pass,2022
STU0402,Male,Commerce,Group C,60-75%,Graduate,No,Yes,3.4,46,62,50,53,51,262,52.4,C,Pass,2023
STU0403,Female,Science,Group C,Below 60%,High School,No,Yes,7.4,25,35,32,27,26,145,29.0,D,Fail,2022
